image_id,height,width,num_kelp_px,perc_kelp,num_cloud_px,perc_clouds,num_water_px,perc_water,dem_std,num_corrupt_px,perc_corrupt
DB131248,350,350,659,0.005379591836734694,31938,0.26071836734693876,116242,0.9489142857142857,2.4159985924596854,30067,0.24544489795918367
YE255214,350,350,328,0.0026775510204081632,115,0.0009387755102040817,13392,0.10932244897959184,60.08927081111607,0,0.0
VL631958,350,350,0,0.0,9351,0.07633469387755103,0,0.0,0.0,0,0.0
LB403936,350,350,681,0.0055591836734693876,403,0.003289795918367347,116057,0.9474040816326531,2.1742792136840947,0,0.0
PY714837,350,350,517,0.004220408163265306,351,0.0028653061224489795,109631,0.8949469387755102,41.42252090915324,0,0.0
HK646078,350,350,924,0.007542857142857143,3456,0.028212244897959184,100727,0.8222612244897959,8.378701655217153,33,0.0002693877551020408
WS829022,350,350,0,0.0,42069,0.3434204081632653,122500,1.0,0.0,42069,0.3434204081632653
TF513683,350,350,34,0.0002775510204081633,3861,0.031518367346938775,92724,0.756930612244898,4.262051044044501,127,0.001036734693877551
UV318217,350,350,4679,0.03819591836734694,646,0.005273469387755102,106306,0.8678040816326531,13.49623094278453,0,0.0
NL348755,350,350,897,0.007322448979591837,17026,0.1389877551020408,99757,0.8143428571428571,7.103596930769332,0,0.0
VX731124,350,350,375,0.003061224489795918,12,9.79591836734694e-05,110775,0.9042857142857142,9.579877321975822,0,0.0
WK510339,350,350,1331,0.01086530612244898,103602,0.845730612244898,111570,0.9107755102040817,1.9832953535488804,103601,0.8457224489795918
FQ270870,350,350,0,0.0,41717,0.3405469387755102,106645,0.8705714285714286,8.35709595824871,25090,0.20481632653061224
YQ254679,350,350,1258,0.010269387755102041,1155,0.009428571428571429,77926,0.636130612244898,8.987799853361313,0,0.0
NN298049,350,350,43,0.0003510204081632653,29,0.000236734693877551,48495,0.39587755102040817,249.9010921614242,0,0.0
MM911513,350,350,55,0.0004489795918367347,0,0.0,27741,0.22645714285714286,13.51447027641896,0,0.0
HM825391,350,350,827,0.006751020408163265,2111,0.01723265306122449,43630,0.35616326530612247,6.111696829553679,0,0.0
DC998043,350,350,0,0.0,6428,0.0524734693877551,108584,0.8864,25.59580546977142,0,0.0
PO495288,350,350,80,0.0006530612244897959,18572,0.15160816326530613,115717,0.9446285714285715,8.494507098261538,18540,0.1513469387755102
FW825024,350,350,0,0.0,10195,0.08322448979591837,12913,0.10541224489795918,329.00527132240677,0,0.0
QK648759,350,350,20,0.00016326530612244898,21,0.00017142857142857143,68242,0.5570775510204081,29.28243671807735,0,0.0
LK814956,350,350,447,0.0036489795918367347,280,0.002285714285714286,114833,0.9374122448979592,37.32725137500834,0,0.0
GU751031,350,350,79,0.0006448979591836734,98,0.0008,58567,0.4780979591836735,96.17297668160644,0,0.0
WS206663,350,350,952,0.0077714285714285715,2763,0.022555102040816326,107832,0.8802612244897959,46.810383216134674,0,0.0
JN371213,350,350,600,0.004897959183673469,4512,0.03683265306122449,113942,0.9301387755102041,3.1499748818048796,0,0.0
ND583020,350,350,0,0.0,4152,0.033893877551020406,25792,0.2105469387755102,10.081698865901712,230,0.0018775510204081633
EY828299,350,350,344,0.0028081632653061224,7842,0.06401632653061225,48387,0.39499591836734693,54.252294577468795,0,0.0
YY355465,350,350,233,0.0019020408163265307,20357,0.1661795918367347,107380,0.8765714285714286,2.8125188267406336,18942,0.15462857142857142
RT435996,350,350,0,0.0,31942,0.2607510204081633,122500,1.0,0.0,30623,0.24998367346938777
AB160377,350,350,1200,0.009795918367346938,261,0.002130612244897959,74614,0.6090938775510204,7.870442756527323,0,0.0
WV436832,350,350,1,8.163265306122448e-06,29,0.000236734693877551,113946,0.9301714285714285,3.6202836910797993,0,0.0
CP568784,350,350,456,0.0037224489795918366,4019,0.032808163265306126,102028,0.8328816326530613,3.4058914339433106,0,0.0
YA596221,350,350,280,0.002285714285714286,766,0.0062530612244897955,37162,0.30336326530612245,45.78554054314261,0,0.0
JS771176,350,350,0,0.0,86215,0.7037959183673469,97039,0.7921551020408163,3.2087620602942044,0,0.0
